STATIONS_ID;MESS_DATUM;QN;RS_01;RS_IND_01;eor
         73;202303310223;    2;   0.00;-999;eor
         73;202303310224;    2;   0.00;-999;eor
         73;202303310225;    2;   0.00;-999;eor
         73;202303310226;    2;   0.00;-999;eor
         73;202303310227;    2;   0.00;-999;eor
         73;202303310228;    2;   0.00;-999;eor
         73;202303310229;    2;   0.00;-999;eor
         73;202303310230;    2;   0.00;-999;eor
         73;202303310231;    2;   0.00;-999;eor
         73;202303310232;    2;   0.00;-999;eor
         73;202303310233;    2;   0.00;-999;eor
         73;202303310234;    2;   0.00;-999;eor
         73;202303310235;    2;   0.00;-999;eor
         73;202303310236;    2;   0.00;-999;eor
         73;202303310237;    2;   0.00;-999;eor
         73;202303310238;    2;   0.00;-999;eor
         73;202303310239;    2;   0.00;-999;eor
         73;202303310240;    2;   0.00;-999;eor
         73;202303310241;    2;   0.00;-999;eor
         73;202303310242;    2;   0.00;-999;eor
         73;202303310243;    2;   0.00;-999;eor
         73;202303310244;    2;   0.00;-999;eor
         73;202303310245;    2;   0.00;-999;eor
         73;202303310246;    2;   0.00;-999;eor
         73;202303310247;    2;   0.00;-999;eor
         73;202303310248;    2;   0.00;-999;eor
         73;202303310249;    2;   0.00;-999;eor
         73;202303310250;    2;   0.00;-999;eor
         73;202303310251;    2;   0.00;-999;eor
         73;202303310252;    2;   0.00;-999;eor
         73;202303310253;    2;   0.00;-999;eor
         73;202303310254;    2;   0.00;-999;eor
         73;202303310255;    2;   0.00;-999;eor
         73;202303310256;    2;   0.00;-999;eor
         73;202303310257;    2;   0.00;-999;eor
         73;202303310258;    2;   0.00;-999;eor
         73;202303310259;    2;   0.00;-999;eor
         73;202303310300;    2;   0.00;-999;eor
         73;202303310301;    2;   0.00;-999;eor
         73;202303310302;    2;   0.00;-999;eor
         73;202303310303;    2;   0.00;-999;eor
         73;202303310304;    2;   0.00;-999;eor
         73;202303310305;    2;   0.00;-999;eor
         73;202303310306;    2;   0.00;-999;eor
         73;202303310307;    2;   0.00;-999;eor
         73;202303310308;    2;   0.00;-999;eor
         73;202303310309;    2;   0.00;-999;eor
         73;202303310310;    2;   0.00;-999;eor
         73;202303310311;    2;   0.00;-999;eor
         73;202303310312;    2;   0.00;-999;eor
         73;202303310313;    2;   0.00;-999;eor
         73;202303310314;    2;   0.00;-999;eor
         73;202303310315;    2;   0.00;-999;eor
         73;202303310316;    2;   0.00;-999;eor
         73;202303310317;    2;   0.00;-999;eor
         73;202303310318;    2;   0.00;-999;eor
         73;202303310319;    2;   0.00;-999;eor
         73;202303310320;    2;   0.00;-999;eor
         73;202303310321;    2;   0.00;-999;eor
         73;202303310322;    2;   0.00;-999;eor
         73;202303310323;    2;   0.00;-999;eor
         73;202303310324;    2;   0.00;-999;eor
         73;202303310325;    2;   0.00;-999;eor
         73;202303310326;    2;   0.00;-999;eor
         73;202303310327;    2;   0.00;-999;eor
         73;202303310328;    2;   0.00;-999;eor
         73;202303310329;    2;   0.00;-999;eor
         73;202303310330;    2;   0.00;-999;eor
         73;202303310331;    2;   0.00;-999;eor
         73;202303310332;    2;   0.00;-999;eor
         73;202303310333;    2;   0.00;-999;eor
         73;202303310334;    2;   0.00;-999;eor
         73;202303310335;    2;   0.00;-999;eor
         73;202303310336;    2;   0.00;-999;eor
         73;202303310337;    2;   0.00;-999;eor
         73;202303310338;    2;   0.00;-999;eor
         73;202303310339;    2;   0.00;-999;eor
         73;202303310340;    2;   0.00;-999;eor
         73;202303310341;    2;   0.00;-999;eor
         73;202303310342;    2;   0.00;-999;eor
         73;202303310343;    2;   0.00;-999;eor
         73;202303310344;    2;   0.00;-999;eor
         73;202303310345;    2;   0.00;-999;eor
         73;202303310346;    2;   0.00;-999;eor
         73;202303310347;    2;   0.00;-999;eor
         73;202303310348;    2;   0.00;-999;eor
         73;202303310349;    2;   0.00;-999;eor
         73;202303310350;    2;   0.00;-999;eor
         73;202303310351;    2;   0.00;-999;eor
         73;202303310352;    2;   0.00;-999;eor
         73;202303310353;    2;   0.00;-999;eor
         73;202303310354;    2;   0.00;-999;eor
         73;202303310355;    2;   0.00;-999;eor
         73;202303310356;    2;   0.00;-999;eor
         73;202303310357;    2;   0.00;-999;eor
         73;202303310358;    2;   0.00;-999;eor
         73;202303310359;    2;   0.00;-999;eor
         73;202303310400;    2;   0.00;-999;eor
         73;202303310401;    2;   0.00;-999;eor
         73;202303310402;    2;   0.00;-999;eor
         73;202303310403;    2;   0.00;-999;eor
         73;202303310404;    2;   0.00;-999;eor
         73;202303310405;    2;   0.00;-999;eor
         73;202303310406;    2;   0.00;-999;eor
         73;202303310407;    2;   0.00;-999;eor
         73;202303310408;    2;   0.00;-999;eor
         73;202303310409;    2;   0.00;-999;eor
         73;202303310410;    2;   0.00;-999;eor
         73;202303310411;    2;   0.00;-999;eor
         73;202303310412;    2;   0.00;-999;eor
         73;202303310413;    2;   0.00;-999;eor
         73;202303310414;    2;   0.00;-999;eor
         73;202303310415;    2;   0.00;-999;eor
         73;202303310416;    2;   0.00;-999;eor
         73;202303310417;    2;   0.00;-999;eor
         73;202303310418;    2;   0.00;-999;eor
         73;202303310419;    2;   0.00;-999;eor
         73;202303310420;    2;   0.00;-999;eor
         73;202303310421;    2;   0.00;-999;eor
         73;202303310422;    2;   0.00;-999;eor
         73;202303310423;    2;   0.00;-999;eor
         73;202303310424;    2;   0.00;-999;eor
         73;202303310425;    2;   0.00;-999;eor
         73;202303310426;    2;   0.00;-999;eor
         73;202303310427;    2;   0.00;-999;eor
         73;202303310428;    2;   0.00;-999;eor
         73;202303310429;    2;   0.00;-999;eor
         73;202303310430;    2;   0.00;-999;eor
         73;202303310431;    2;   0.00;-999;eor
         73;202303310432;    2;   0.00;-999;eor
         73;202303310433;    2;   0.00;-999;eor
         73;202303310434;    2;   0.00;-999;eor
         73;202303310435;    2;   0.00;-999;eor
         73;202303310436;    2;   0.00;-999;eor
         73;202303310437;    2;   0.00;-999;eor
         73;202303310438;    2;   0.00;-999;eor
         73;202303310439;    2;   0.00;-999;eor
         73;202303310440;    2;   0.00;-999;eor
         73;202303310441;    2;   0.00;-999;eor
         73;202303310442;    2;   0.00;-999;eor
         73;202303310443;    2;   0.00;-999;eor
         73;202303310444;    2;   0.00;-999;eor
         73;202303310445;    2;   0.00;-999;eor
         73;202303310446;    2;   0.00;-999;eor
         73;202303310447;    2;   0.00;-999;eor
         73;202303310448;    2;   0.00;-999;eor
         73;202303310449;    2;   0.00;-999;eor
         73;202303310450;    2;   0.00;-999;eor
         73;202303310451;    2;   0.00;-999;eor
         73;202303310452;    2;   0.00;-999;eor
         73;202303310453;    2;   0.00;-999;eor
         73;202303310454;    2;   0.00;-999;eor
         73;202303310455;    2;   0.00;-999;eor
         73;202303310456;    2;   0.00;-999;eor
         73;202303310457;    2;   0.00;-999;eor
         73;202303310458;    2;   0.00;-999;eor
         73;202303310459;    2;   0.00;-999;eor
         73;202303310500;    2;   0.00;-999;eor
         73;202303310501;    2;   0.00;-999;eor
         73;202303310502;    2;   0.01;-999;eor
         73;202303310503;    2;   0.02;-999;eor
         73;202303310504;    2;   0.00;-999;eor
         73;202303310505;    2;   0.03;-999;eor
         73;202303310506;    2;   0.08;-999;eor
         73;202303310507;    2;   0.07;-999;eor
         73;202303310508;    2;   0.01;-999;eor
         73;202303310509;    2;   0.01;-999;eor
         73;202303310510;    2;   0.00;-999;eor
         73;202303310511;    2;   0.01;-999;eor
         73;202303310512;    2;   0.01;-999;eor
         73;202303310513;    2;   0.00;-999;eor
         73;202303310514;    2;   0.00;-999;eor
         73;202303310515;    2;   0.00;-999;eor
         73;202303310516;    2;   0.01;-999;eor
         73;202303310517;    2;   0.00;-999;eor
         73;202303310518;    2;   0.01;-999;eor
         73;202303310519;    2;   0.00;-999;eor
         73;202303310520;    2;   0.00;-999;eor
         73;202303310521;    2;   0.01;-999;eor
         73;202303310522;    2;   0.00;-999;eor
         73;202303310523;    2;   0.00;-999;eor
         73;202303310524;    2;   0.01;-999;eor
         73;202303310525;    2;   0.02;-999;eor
         73;202303310526;    2;   0.01;-999;eor
         73;202303310527;    2;   0.02;-999;eor
         73;202303310528;    2;   0.02;-999;eor
         73;202303310529;    2;   0.01;-999;eor
         73;202303310530;    2;   0.02;-999;eor
         73;202303310531;    2;   0.03;-999;eor
         73;202303310532;    2;   0.01;-999;eor
         73;202303310533;    2;   0.03;-999;eor
         73;202303310534;    2;   0.02;-999;eor
         73;202303310535;    2;   0.03;-999;eor
         73;202303310536;    2;   0.02;-999;eor
         73;202303310537;    2;   0.02;-999;eor
         73;202303310538;    2;   0.01;-999;eor
         73;202303310539;    2;   0.02;-999;eor
         73;202303310540;    2;   0.00;-999;eor
         73;202303310541;    2;   0.02;-999;eor
         73;202303310542;    2;   0.02;-999;eor
         73;202303310543;    2;   0.01;-999;eor
         73;202303310544;    2;   0.01;-999;eor
         73;202303310545;    2;   0.02;-999;eor
         73;202303310546;    2;   0.03;-999;eor
         73;202303310547;    2;   0.03;-999;eor
         73;202303310548;    2;   0.03;-999;eor
         73;202303310549;    2;   0.01;-999;eor
         73;202303310550;    2;   0.04;-999;eor
         73;202303310551;    2;   0.01;-999;eor
         73;202303310552;    2;   0.02;-999;eor
         73;202303310553;    2;   0.01;-999;eor
         73;202303310554;    2;   0.02;-999;eor
         73;202303310555;    2;   0.03;-999;eor
         73;202303310556;    2;   0.02;-999;eor
         73;202303310557;    2;   0.02;-999;eor
         73;202303310558;    2;   0.01;-999;eor
         73;202303310559;    2;   0.03;-999;eor
         73;202303310600;    2;   0.01;-999;eor
         73;202303310601;    2;   0.03;-999;eor
         73;202303310602;    2;   0.01;-999;eor
         73;202303310603;    2;   0.02;-999;eor
         73;202303310604;    2;   0.01;-999;eor
         73;202303310605;    2;   0.02;-999;eor
         73;202303310606;    2;   0.01;-999;eor
         73;202303310607;    2;   0.02;-999;eor
         73;202303310608;    2;   0.01;-999;eor
         73;202303310609;    2;   0.02;-999;eor
         73;202303310610;    2;   0.01;-999;eor
         73;202303310611;    2;   0.01;-999;eor
         73;202303310612;    2;   0.01;-999;eor
         73;202303310613;    2;   0.02;-999;eor
         73;202303310614;    2;   0.00;-999;eor
         73;202303310615;    2;   0.01;-999;eor
         73;202303310616;    2;   0.00;-999;eor
         73;202303310617;    2;   0.01;-999;eor
         73;202303310618;    2;   0.00;-999;eor
         73;202303310619;    2;   0.01;-999;eor
         73;202303310620;    2;   0.01;-999;eor
         73;202303310621;    2;   0.00;-999;eor
         73;202303310622;    2;   0.02;-999;eor
         73;202303310623;    2;   0.02;-999;eor
         73;202303310624;    2;   0.02;-999;eor
         73;202303310625;    2;   0.00;-999;eor
         73;202303310626;    2;   0.02;-999;eor
         73;202303310627;    2;   0.01;-999;eor
         73;202303310628;    2;   0.00;-999;eor
         73;202303310629;    2;   0.01;-999;eor
         73;202303310630;    2;   0.00;-999;eor
         73;202303310631;    2;   0.00;-999;eor
         73;202303310632;    2;   0.00;-999;eor
         73;202303310633;    2;   0.00;-999;eor
         73;202303310634;    2;   0.01;-999;eor
         73;202303310635;    2;   0.00;-999;eor
         73;202303310636;    2;   0.00;-999;eor
         73;202303310637;    2;   0.00;-999;eor
         73;202303310638;    2;   0.00;-999;eor
         73;202303310639;    2;   0.00;-999;eor
         73;202303310640;    2;   0.00;-999;eor
         73;202303310641;    2;   0.00;-999;eor
         73;202303310642;    2;   0.00;-999;eor
         73;202303310643;    2;   0.00;-999;eor
         73;202303310644;    2;   0.00;-999;eor
         73;202303310645;    2;   0.00;-999;eor
         73;202303310646;    2;   0.00;-999;eor
         73;202303310647;    2;   0.00;-999;eor
         73;202303310648;    2;   0.00;-999;eor
         73;202303310649;    2;   0.01;-999;eor
         73;202303310650;    2;   0.00;-999;eor
         73;202303310651;    2;   0.00;-999;eor
         73;202303310652;    2;   0.00;-999;eor
         73;202303310653;    2;   0.00;-999;eor
         73;202303310654;    2;   0.00;-999;eor
         73;202303310655;    2;   0.00;-999;eor
         73;202303310656;    2;   0.00;-999;eor
         73;202303310657;    2;   0.00;-999;eor
         73;202303310658;    2;   0.00;-999;eor
         73;202303310659;    2;   0.00;-999;eor
         73;202303310700;    2;   0.00;-999;eor
         73;202303310701;    2;   0.00;-999;eor
