Stations_id;Stationsname;geogr. Breite;geogr. Laenge;Stationshoehe;Bundesland;
         76;Alfdorf-Pfahlbronn                      ;   48.835389;    9.684172;          493;Baden-Württemberg                       ;
         77;Alfeld/Leine                            ;   51.991728;    9.819417;           90;Niedersachsen                           ;
         78;Alfhausen                               ;   52.485314;    7.912553;           65;Niedersachsen                           ;
         79;Alfter-Volmershoven                     ;   50.671796;    7.015528;          160;Nordrhein-Westfalen                     ;
         80;Alheim-Heinebach                        ;   51.051835;    9.661652;          195;Hessen                                  ;
         81;Allendorf/Eder-Osterfeld                ;   51.059031;    8.652103;          378;Hessen                                  ;
         82;Allerdorf                               ;     53.0333;      9.1833;           18;Niedersachsen                           ;
         83;Alleringersleben                        ;    52.21301;   11.141411;          135;Sachsen-Anhalt                          ;
         84;Allersberg                              ;    49.25065;   11.243043;          385;Bayern                                  ;
         85;Allrode                                 ;   51.676471;   10.969446;          458;Sachsen-Anhalt                          ;
         86;Allstedt                                ;   51.399805;   11.388888;          140;Sachsen-Anhalt                          ;
         87;Alperstedt                              ;   51.095024;   11.047932;          158;Thüringen                               ;
         88;Alpirsbach (Kläranlage)                 ;   48.322643;     8.39436;          400;Baden-Württemberg                       ;
         89;Alsenz                                  ;     49.7167;      7.8167;          146;Rheinland-Pfalz                         ;
         91;Alsfeld-Eifa                            ;   50.744591;    9.344972;          300;Hessen                                  ;
         92;Alsfeld-Lingelbach                      ;   50.763767;    9.403094;          395;Hessen                                  ;
         93;Alsfeld-Reibertenrod                    ;   50.769066;    9.254216;          269;Hessen                                  ;
         94;Alt Krenzlin-Krenzliner Hütte           ;   53.309586;   11.313265;           52;Mecklenburg-Vorpommern                  ;
         95;Alt Madlitz                             ;   52.378017;   14.231734;           62;Brandenburg                             ;
         96;Neuruppin-Alt Ruppin                    ;   52.943711;   12.851826;         49.8;Brandenburg                             ;
         97;Alt Zeschdorf                           ;   52.427514;      14.442;           50;Brandenburg                             ;
         98;Altastenberg                            ;   51.189015;     8.46713;          780;Nordrhein-Westfalen                     ;
         99;Altbrandsleben                          ;   52.072827;   11.247498;          185;Sachsen-Anhalt                          ;
        100;Altdöbern                               ;   51.650398;   14.031784;           85;Brandenburg                             ;
        101;Altdorf                                 ;   49.386435;   11.370522;          423;Bayern                                  ;
        103;Hagelstadt                              ;   48.895982;   12.216961;        363.5;Bayern                                  ;
        104;Altena in Westfalen                     ;   51.285602;    7.692246;          196;Nordrhein-Westfalen                     ;
        105;Ahrbrück                                ;   50.484485;    6.971023;          195;Rheinland-Pfalz                         ;
        107;Altenau (A)                             ;        51.8;     10.4333;          460;Niedersachsen                           ;
        108;Altenau-Bastesiedlung                   ;     51.8333;     10.5333;          635;Niedersachsen                           ;
        109;Altenau-Torfhaus/Harz                   ;   51.801154;    10.53791;          800;Niedersachsen                           ;
        110;Altenberge                              ;   52.048658;    7.487688;           65;Nordrhein-Westfalen                     ;
        111;Altenbrak                               ;   51.727265;   10.936151;          300;Sachsen-Anhalt                          ;
        112;Altenbrak (Rappbode Talsperre )         ;   51.738963;   10.896457;          430;Sachsen-Anhalt                          ;
        113;Altenbrak-Todtenrode                    ;   51.736464;   10.956947;          425;Sachsen-Anhalt                          ;
        115;Altenbrak-Wendefurth                    ;   51.741163;   10.918953;          353;Sachsen-Anhalt                          ;
        116;Altenburg                               ;     50.9833;     12.4333;          213;Thüringen                               ;
        117;Altendambach                            ;   50.560497;   10.717901;          520;Thüringen                               ;
        118;Altendorf                               ;   49.405261;   12.285162;          388;Bayern                                  ;
        119;Altenhagen-Starkow                      ;   54.275586;   12.751415;            7;Mecklenburg-Vorpommern                  ;
        120;Altenhof                                ;   52.913551;   13.711799;           50;Brandenburg                             ;
        121;Neitersen                               ;   50.665417;    7.576472;          218;Rheinland-Pfalz                         ;
        122;Altenmedingen-Eddelstorf                ;     53.1471;   10.619477;           61;Niedersachsen                           ;
        123;Altenparkstein                          ;     49.7667;     12.0833;          470;Bayern                                  ;
        124;Bibra, Bad-Altenroda                    ;   51.238782;   11.577004;          265;Sachsen-Anhalt                          ;
        127;Altensteig-Wart                         ;    48.61711;    8.650122;          594;Baden-Württemberg                       ;
        128;Altenthann-Forstmühle                   ;   49.084395;    12.32316;          446;Bayern                                  ;
        129;Altentreptow                            ;   53.689277;      13.242;           28;Mecklenburg-Vorpommern                  ;
        130;Altertheim-Oberaltertheim               ;   49.728287;     9.76915;          300;Bayern                                  ;
        131;Geringswalde-Altgeringswalde            ;   51.088078;   12.932593;        295.5;Sachsen                                 ;
        132;Altglashütte                            ;   49.772498;   12.389068;          750;Bayern                                  ;
        133;Althengstett-Ottenbronn                 ;   48.735897;    8.749307;          530;Baden-Württemberg                       ;
        134;Althütte bei Waldmünchen                ;     49.3333;     12.7667;          785;Bayern                                  ;
        135;Altkirchen                              ;     50.9333;       12.35;          232;Thüringen                               ;
        137;Altlohberghütte                         ;   49.176172;   13.131473;          825;Bayern                                  ;
        138;Altmannstein-Laimerstadt                ;   48.882095;   11.711381;          430;Bayern                                  ;
        139;Altmannstein-Pondorf                    ;   48.943687;   11.569401;          530;Bayern                                  ;
        140;Altmersleben                            ;   52.686058;   11.427159;           35;Sachsen-Anhalt                          ;
        141;Altmörbitz (TS Schömbach)               ;    50.99316;   12.573118;          207;Sachsen                                 ;
        142;Altomünster-Maisbrunn                   ;   48.406036;   11.311694;        510.5;Bayern                                  ;
        143;Altomünster-Wollomoos                   ;   48.401246;   11.198361;          505;Bayern                                  ;
        144;Altreetz                                ;   52.764173;   14.166433;            6;Brandenburg                             ;
        145;Altusried-Krugzell                      ;   47.798599;   10.253879;          643;Bayern                                  ;
        146;Altusried-Muthmannshofen                ;    47.79221;   10.098824;          730;Bayern                                  ;
        147;Altwigshagen                            ;    53.71706;   13.835058;            9;Mecklenburg-Vorpommern                  ;
        148;Alveslohe                               ;        53.8;         9.9;           33;Schleswig-Holstein                      ;
        149;Alzenau                                 ;   50.088843;    9.059751;          111;Bayern                                  ;
        150;Alzey                                   ;     49.7273;    8.116356;          215;Rheinland-Pfalz                         ;
        151;Amberg-Unterammersricht                 ;   49.469061;   11.854626;        381.5;Bayern                                  ;
        152;Amelinghausen                           ;     53.1268;    10.21844;           57;Niedersachsen                           ;
        153;Amerang-Kammer                          ;   48.002699;    12.31321;          530;Bayern                                  ;
        154;Amerang-Pfaffing                        ;   48.019737;   12.292473;        515.5;Bayern                                  ;
        155;Amerdingen                              ;    48.72574;    10.49146;          492;Bayern                                  ;
        156;Amesdorf-Warmsdorf                      ;   51.776963;   11.574353;           96;Sachsen-Anhalt                          ;
        158;Amöneburg-Rüdigheim                     ;   50.784041;    8.954489;          210;Hessen                                  ;
        159;Amorbach                                ;   49.640295;     9.22953;          181;Bayern                                  ;
        160;Andechs-Erling                          ;   47.963589;   11.177753;        681.5;Bayern                                  ;
        161;Andernach                               ;   50.423657;    7.420171;           75;Rheinland-Pfalz                         ;
        162;Anger-Oberhögl                          ;   47.801327;   12.898432;          690;Bayern                                  ;
