Stations_id,Stationsname,Breite, Laenge,Stationshoehe,Bundesland
480,Biedenkopf-Wallau                       ,    50.92751,    8.493681,296,Hessen                                  
535,Blankenrath                             ,   50.037229,    7.307861,417,Rheinland-Pfalz                         
591,Boizenburg                              ,   53.391093,    10.68781,45,Mecklenburg-Vorpommern                  
596,Boltenhagen                             ,   54.002724,    11.19082,15,Mecklenburg-Vorpommern                  
599,Bonn-Friesdorf                          ,   50.705468,     7.14673,62,Nordrhein-Westfalen                     
619,Borkum-Süderstraße                      ,   53.578793,    6.670348,         11.6,Niedersachsen                           
642,Brake                                   ,   53.351708,    8.496926,1,Niedersachsen                           
648,Brande-Hörnerkirchen                    ,   53.855114,     9.71521,9,Schleswig-Holstein                      
656,Braunlage                               ,   51.723383,   10.602109,        607.3,Niedersachsen                           
662,Braunschweig                            ,   52.291469,   10.446448,         81.4,Niedersachsen                           
691,Bremen                                  ,    53.04507,    8.798084,4,Bremen                                  
701,Bremerhaven                             ,    53.53321,    8.576089,          6.5,Bremen                                  
703,Bremervörde (A)                         ,   53.477855,    9.155304,5,Niedersachsen                           
717,Brilon                                  ,   51.387293,    8.573713,443,Nordrhein-Westfalen                     
722,Brocken                                 ,   51.798615,    10.61828,       1134.7,Sachsen-Anhalt                          
727,Brombachtal-Kirch-Brombach              ,   49.734483,    8.955669,290,Hessen                                  
736,Brücken                                 ,   49.630291,    7.114838,390,Rheinland-Pfalz                         
755,Buchen,   49.518196,     9.32127,340,Baden-Württemberg                       
772,Bühlertal                               ,     48.6957,    8.174389,190,Baden-Württemberg                       
807,Schlüsselfeld (Kläranlage)              ,    49.74499,   10.643423,290,Bayern                                  
817,Burgwald-Bottendorf                     ,   51.030568,    8.814605,293,Hessen                                  
851,Pemfling-Pitzling                       ,    49.25044,   12.604179,        391.5,Bayern                                  
853,Chemnitz                                ,   50.791286,   12.871977,        416.1,Sachsen                                 
863,Clausthal-Zellerfeld                    ,   51.790354,   10.347039,585,Niedersachsen                           
867,Lautertal-Oberlauter                    ,   50.306639,   10.967938,        343.8,Bayern                                  
880,Cottbus                                 ,   51.775922,   14.316796,69,Brandenburg                             
881,Crailsheim-Alexandersreut               ,   49.098476,   10.097896,423,Baden-Württemberg                       
891,Cuxhaven                                ,   53.871254,    8.705821,5,Niedersachsen                           
920,Darmstadt (US-Air-Base)                 ,   49.856368,    8.592921,        107.5,Hessen                                  
953,Deuselbach                              ,   49.761875,    7.054249,        480.5,Rheinland-Pfalz                         
963,Diepholz                                ,   52.588112,    8.342405,         37.7,Niedersachsen                           
979,Dillenburg                              ,   50.736371,    8.267238,314,Hessen                                  
982,Dillingen/Donau                         ,   48.570123,   10.498459,420,Bayern                                  
991,Dippoldiswalde-Reinberg                 ,   50.911626,   13.708675,        358.5,Sachsen                                 
998,Dobel                                   ,   48.796789,    8.492143,696,Baden-Württemberg                       
1001,Doberlug-Kirchhain                      ,   51.645071,   13.574714,         96.8,Brandenburg                             
1018,Donaueschingen                          ,   47.942187,    8.504647,677,Baden-Württemberg                       
1032,Dortmund                                ,   51.511976,    7.534469,120,Nordrhein-Westfalen                     
1048,Dresden-Klotzsche                       ,   51.127797,   13.754251,        227.6,Sachsen                                 
1050,Dresden-Hosterwitz                      ,   51.022068,   13.847006,112,Sachsen                                 
1053,Driburg,   51.733655,    9.044538,192,Nordrhein-Westfalen                     
1072,Dürkheim,   49.471913,    8.192896,107,Rheinland-Pfalz                         
1076,Dürrheim,   48.013478,    8.534342,692,Baden-Württemberg                       
1079,Düsseldorf-Südfriedhof                  ,   51.199811,    6.757388,37,Nordrhein-Westfalen                     
1087,Duisburg-Laar                           ,   51.463381,    6.732091,21,Nordrhein-Westfalen                     
1093,Eberbach                                ,   49.459307,    8.959463,131,Baden-Württemberg                       
1107,Ebrach                                  ,   49.851954,   10.499124,        345.5,Bayern                                  
1161,Eichstätt-Landershofen                  ,   48.877749,    11.23488,384,Bayern                                  
