Stations_id,Stationsname,Breite, Laenge,Stationshoehe,Bundesland
722,Brocken                                 ,   51.798615,    10.61828,       1134.7,Sachsen-Anhalt                          
736,Brücken                                 ,   49.630291,    7.114838,390,Rheinland-Pfalz                         
807,Schlüsselfeld (Kläranlage)              ,    49.74499,   10.643423,290,Bayern                                  
817,Burgwald-Bottendorf                     ,   51.030568,    8.814605,293,Hessen                                  
833,Neuhausen/Erzgeb. (TS Rauschenbach)     ,   50.695051,   13.497456,615,Sachsen                                 
851,Pemfling-Pitzling                       ,    49.25044,   12.604179,        391.5,Bayern                                  
853,Chemnitz                                ,   50.791286,   12.871977,        416.1,Sachsen                                 
863,Clausthal-Zellerfeld                    ,   51.790354,   10.347039,585,Niedersachsen                           
867,Lautertal-Oberlauter                    ,   50.306639,   10.967938,        343.8,Bayern                                  
880,Cottbus                                 ,   51.775922,   14.316796,69,Brandenburg                             
881,Crailsheim-Alexandersreut               ,   49.098476,   10.097896,423,Baden-Württemberg                       
891,Cuxhaven                                ,   53.871254,    8.705821,5,Niedersachsen                           
953,Deuselbach                              ,   49.761875,    7.054249,        480.5,Rheinland-Pfalz                         
963,Diepholz                                ,   52.588112,    8.342405,         37.7,Niedersachsen                           
979,Dillenburg                              ,   50.736371,    8.267238,314,Hessen                                  
982,Dillingen/Donau                         ,   48.570123,   10.498459,420,Bayern                                  
998,Dobel                                   ,   48.796789,    8.492143,696,Baden-Württemberg                       
1001,Doberlug-Kirchhain                      ,   51.645071,   13.574714,         96.8,Brandenburg                             
1018,Donaueschingen                          ,   47.942187,    8.504647,677,Baden-Württemberg                       
1032,Dortmund                                ,   51.511976,    7.534469,120,Nordrhein-Westfalen                     
1048,Dresden-Klotzsche                       ,   51.127797,   13.754251,        227.6,Sachsen                                 
1050,Dresden-Hosterwitz                      ,   51.022068,   13.847006,112,Sachsen                                 
1078,Düsseldorf                              ,   51.295952,    6.768648,         36.6,Nordrhein-Westfalen                     
1079,Düsseldorf-Südfriedhof                  ,   51.199811,    6.757388,37,Nordrhein-Westfalen                     
1093,Eberbach                                ,   49.459307,    8.959463,131,Baden-Württemberg                       
1107,Ebrach                                  ,   49.851954,   10.499124,        345.5,Bayern                                  
1161,Eichstätt-Landershofen                  ,   48.877749,    11.23488,384,Bayern                                  
1197,Ellwangen-Rindelbach                    ,   48.989498,   10.131234,460,Baden-Württemberg                       
1201,Elsdorf/Erftkreis                       ,   50.928142,    6.564617,85,Nordrhein-Westfalen                     
1224,Emmendingen-Mundingen                   ,   48.137773,     7.83505,        200.5,Baden-Württemberg                       
1238,Engelskirchen                           ,   50.988436,    7.424988,144,Nordrhein-Westfalen                     
1254,Eppingen                                ,   49.130652,     8.91648,210,Baden-Württemberg                       
1266,Erfde                                   ,   54.299212,    9.316185,18,Schleswig-Holstein                      
1270,Erfurt-Weimar                           ,   50.982887,   10.960753,316,Thüringen                               
1279,Möhrendorf-Kleinseebach                 ,   49.649749,   11.007464,        267.5,Bayern                                  
1292,Eschenbach/Oberpfalz                    ,   49.752196,   11.822151,470,Bayern                                  
1297,Eschwege                                ,   51.204132,   10.013767,156,Hessen                                  
1300,Eslohe                                  ,    51.25399,     8.15653,351,Nordrhein-Westfalen                     
1303,Essen-Bredeney                          ,   51.404085,    6.967741,150,Nordrhein-Westfalen                     
1327,Weilerswist-Lommersum                   ,   50.711886,    6.790489,147,Nordrhein-Westfalen                     
1329,Eutin                                   ,   54.133987,   10.586466,50,Schleswig-Holstein                      
1346,Feldberg/Schwarzwald                    ,   47.874893,    8.003817,       1489.6,Baden-Württemberg                       
1357,Fichtelberg/Oberfranken-Hüttstadl       ,   49.980702,   11.837601,        654.5,Bayern                                  
1358,Fichtelberg                             ,   50.428295,   12.953583,1213,Sachsen                                 
1411,Birx/Rhön                               ,    50.53092,   10.047947,747,Thüringen                               
1420,Frankfurt/Main                          ,   50.025911,    8.521294,         99.7,Hessen                                  
1440,Freiamt-Ottoschwanden                   ,   48.201822,    7.933603,        475.5,Baden-Württemberg                       
1443,Freiburg                                ,   48.023242,    7.834292,        236.5,Baden-Württemberg                       
1451,Freiburg/Elbe                           ,   53.827696,    9.249276,2,Niedersachsen                           
1468,Freudenstadt                            ,   48.453828,    8.408952,        796.5,Baden-Württemberg                       
1481,Friedenweiler                           ,   47.921588,    8.254682,928,Baden-Württemberg                       
1492,Malsburg-Marzell-Friedrichsheim         ,   47.781903,    7.734756,852,Baden-Württemberg                       
1503,Friesoythe-Altenoythe                   ,   53.064301,    7.901969,          5.7,Niedersachsen                           
1526,Fulda-Horas                             ,   50.566786,    9.653221,242,Hessen                                  
1544,Gardelegen                              ,   52.512889,   11.394174,47,Sachsen-Anhalt                          
1550,Garmisch-Partenkirchen                  ,   47.482989,   11.062126,        719.3,Bayern                                  
1580,Geisenheim                              ,   49.985894,    7.954826,        110.2,Hessen                                  
1590,Geldern-Walbeck                         ,   51.494168,    6.246343,37,Nordrhein-Westfalen                     
1602,Ohlsbach                                ,   48.432972,    7.993002,177,Baden-Württemberg                       
1612,Gera-Leumnitz                           ,   50.881208,   12.128885,311,Thüringen                               
1617,Gernrode                                ,   51.725866,   11.131721,210,Sachsen-Anhalt                          
1619,Gernsheim                               ,   49.762199,    8.488697,90,Hessen                                  
1639,Gießen/Wettenberg                       ,   50.601715,    8.643898,        203.2,Hessen                                  
1645,Gilserberg-Moischeid                    ,   50.965565,    9.050014,340,Hessen                                  
1667,Glückstadt                              ,    53.79702,    9.429456,1,Schleswig-Holstein                      
1684,Görlitz                                 ,   51.162129,   14.950606,        238.5,Sachsen                                 
1689,Gößweinstein                            ,   49.765641,   11.306236,441,Bayern                                  
1691,Göttingen                               ,   51.500248,    9.950659,        167.4,Niedersachsen                           
1748,Grebenhain-Herchenhain                  ,   50.478799,    9.262017,608,Hessen                                  
1762,Greiz-Dölau                             ,   50.624899,   12.177683,270,Thüringen                               
1803,Groß Lüsewitz                           ,   54.071372,    12.32378,34,Mecklenburg-Vorpommern                  
1891,Rheda-Wiedenbrück-Lintel                ,   51.877017,    8.357671,         72.5,Nordrhein-Westfalen                     
1929,Hahnenklee                              ,   51.859746,    10.33684,567,Niedersachsen                           
1957,Halle-Kröllwitz                         ,   51.513769,   11.949933,93,Sachsen-Anhalt                          
1964,Olsdorf                                 ,   49.944479,     6.38211,328,Rheinland-Pfalz                         
1975,Hamburg-Fuhlsbüttel                     ,   53.633172,    9.988102,         10.7,Hamburg                                 
1981,Hamburg-Neuwiedenthal                   ,   53.477658,    9.895686,3,Hamburg                                 
1987,Hamburg-Sankt Pauli                     ,   53.546681,    9.966227,         47.2,Hamburg                                 
1990,Hamburg-Wandsbek                        ,   53.585347,   10.129348,18,Hamburg                                 
1993,Hameln                                  ,   52.084784,    9.389576,68,Niedersachsen                           
2014,Hannover                                ,   52.464428,    9.677906,         55.2,Niedersachsen                           
2074,Hechingen                               ,   48.375242,    8.980031,        517.5,Baden-Württemberg                       
2078,Weddingstedt                            ,    54.21807,    9.085307,10,Schleswig-Holstein                      
2080,Heidelberg                              ,   49.420618,    8.667613,110,Baden-Württemberg                       
