Stations_id,Stationsname,geogr. Breite,geogr. Laenge,Stationshoehe,Bundesland
151,Amberg-Unterammersricht                 ,   49.469061,   11.854626,        381.5,Bayern                                  
154,Amerang-Pfaffing                        ,   48.019737,   12.292473,        515.5,Bayern                                  
161,Andernach                               ,   50.423657,    7.420171,75,Rheinland-Pfalz                         
164,Angermünde                              ,   53.031558,    13.99082,         53.9,Brandenburg                             
167,Anklam                                  ,   53.840813,   13.685415,11,Mecklenburg-Vorpommern                  
169,Annaberg-Buchholz                       ,   50.573012,   13.005262,630,Sachsen                                 
172,Annaturm                                ,   52.248598,    9.505562,395,Niedersachsen                           
174,Annweiler-Bindersbach                   ,   49.188643,    7.976615,250,Rheinland-Pfalz                         
175,Ansbach                                 ,   49.296441,   10.575139,413,Bayern                                  
177,Ansbach-Hennenbach                      ,   49.315838,   10.581537,418,Bayern                                  
183,Arkona                                  ,   54.679109,   13.434416,42,Mecklenburg-Vorpommern                  
184,Arneburg                                ,   52.676863,   12.007669,55,Sachsen-Anhalt                          
185,Arnis                                   ,   54.628927,    9.929365,3,Schleswig-Holstein                      
186,Arnsberg                                ,   51.377293,    8.071289,        217.9,Nordrhein-Westfalen                     
191,Arnstein-Müdesheim                      ,   49.969403,    9.911391,        216.5,Bayern                                  
193,Arolsen-Neu Berich                      ,   51.384495,    9.082036,232,Hessen                                  
198,Artern                                  ,   51.374418,   11.291962,        163.9,Thüringen                               
202,Aschaffenburg                           ,   49.977088,    9.109099,        110.5,Bayern                                  
207,Aschersleben                            ,   51.749765,    11.46667,105,Sachsen-Anhalt                          
211,Aßlar Klein-Altenstädten                ,   50.579959,    8.468468,200,Hessen                                  
217,Attenkam                                ,   47.877428,   11.364282,670,Bayern                                  
221,Au i.d.Hallertau-Günzenhausen           ,   48.551532,   11.711686,483,Bayern                                  
222,Aue                                     ,   50.590826,   12.713873,393,Sachsen                                 
231,Augsburg (Sankt Stephan)                ,   48.372348,   10.894805,490,Bayern                                  
232,Augsburg                                ,   48.425292,   10.941681,        461.5,Bayern                                  
243,Aurich                                  ,   53.462052,    7.466971,4,Niedersachsen                           
257,Baden-Baden-Geroldsau                   ,   48.726985,    8.245738,240,Baden-Württemberg                       
259,Müllheim                                ,   47.806371,    7.638692,275,Baden-Württemberg                       
268,Baiersbronn-Obertal                     ,   48.529319,    8.272676,622,Baden-Württemberg                       
273,Baindt                                  ,   47.841302,    9.660585,467,Baden-Württemberg                       
282,Bamberg                                 ,   49.874252,   10.920558,240,Bayern                                  
283,Bamberg-Altenburg                       ,   49.880775,   10.869488,382,Bayern                                  
284,Bamberg (Sternwarte)                    ,       49.88,       10.88,282,Bayern                                  
288,Bargischow-Gnevezin                     ,   53.840945,   13.754867,3,Mecklenburg-Vorpommern                  
294,Barsinghausen-Hohenbostel               ,    52.31985,    9.429984,110,Niedersachsen                           
