Stations_id;Stationsname;geogr. Breite;geogr. Laenge;Stationshoehe;Bundesland;
       1279;Möhrendorf-Kleinseebach                 ;   49.649749;   11.007464;        267.5;Bayern                                  ;
       1297;Eschwege                                ;   51.204132;   10.013767;          156;Hessen                                  ;
       1300;Eslohe                                  ;    51.25399;     8.15653;          351;Nordrhein-Westfalen                     ;
       1303;Essen-Bredeney                          ;   51.404085;    6.967741;          150;Nordrhein-Westfalen                     ;
       1327;Weilerswist-Lommersum                   ;   50.711886;    6.790489;          147;Nordrhein-Westfalen                     ;
       1332;Falkenberg,Kr.Rottal-Inn                ;   48.483155;   12.724136;          471;Bayern                                  ;
       1346;Feldberg/Schwarzwald                    ;   47.874893;    8.003817;       1489.6;Baden-Württemberg                       ;
       1357;Fichtelberg/Oberfranken-Hüttstadl       ;   49.980702;   11.837601;        654.5;Bayern                                  ;
       1358;Fichtelberg                             ;   50.428295;   12.953583;         1213;Sachsen                                 ;
       1411;Birx/Rhön                               ;    50.53092;   10.047947;          747;Thüringen                               ;
       1420;Frankfurt/Main                          ;   50.025911;    8.521294;         99.7;Hessen                                  ;
       1424;Frankfurt/Main-Westend                  ;   50.126906;    8.669403;          124;Hessen                                  ;
       1443;Freiburg                                ;   48.023242;    7.834292;        236.5;Baden-Württemberg                       ;
       1451;Freiburg/Elbe                           ;   53.827696;    9.249276;            2;Niedersachsen                           ;
       1468;Freudenstadt                            ;   48.453828;    8.408952;        796.5;Baden-Württemberg                       ;
       1503;Friesoythe-Altenoythe                   ;   53.064301;    7.901969;          5.7;Niedersachsen                           ;
       1526;Fulda-Horas                             ;   50.566786;    9.653221;          242;Hessen                                  ;
       1544;Gardelegen                              ;   52.512889;   11.394174;           47;Sachsen-Anhalt                          ;
       1550;Garmisch-Partenkirchen                  ;   47.482989;   11.062126;        719.3;Bayern                                  ;
       1580;Geisenheim                              ;   49.985894;    7.954826;        110.2;Hessen                                  ;
       1590;Geldern-Walbeck                         ;   51.494168;    6.246343;           37;Nordrhein-Westfalen                     ;
       1602;Ohlsbach                                ;   48.432972;    7.993002;          177;Baden-Württemberg                       ;
       1605;Genthin                                 ;   52.387511;   12.160174;           35;Sachsen-Anhalt                          ;
       1612;Gera-Leumnitz                           ;   50.881208;   12.128885;          311;Thüringen                               ;
       1639;Gießen/Wettenberg                       ;   50.601715;    8.643898;        203.2;Hessen                                  ;
       1645;Gilserberg-Moischeid                    ;   50.965565;    9.050014;          340;Hessen                                  ;
       1684;Görlitz                                 ;   51.162129;   14.950606;        238.5;Sachsen                                 ;
       1691;Göttingen                               ;   51.500248;    9.950659;        167.4;Niedersachsen                           ;
